Ward No,WardName ,Transport Access Scores,IMS Score
E05000438,Lewisham - Blackheath,4.9,11963.83333
E05000439,Lewisham - Brockley,5.8,11980
E05000446,Lewisham - Ladywell,4.5,15503
E05000448,Lewisham - Lewisham Central,5.2,14491
E05000449,Lewisham - New Cross,4.4,11755
E05000453,Lewisham - Telegraph Hill,5.2,9108.666667
E05000534,Southwark - Brunswick Park,4.1,9638
E05000535,Southwark - Camberwell Green,5.6,9749.4
E05000536,Southwark - Cathedrals,8,15868
E05000537,Southwark - Chaucer,7.2,11792.08571
